acceptance_rate,accepted_correct,accepted_incorrect,accepted_range_coverage,accepted_rounds,accepted_series_fraction,accepted_series_macro_coverage,accepted_source_fraction,accepted_source_macro_coverage,correct_acceptance_rate,fold,incorrect_acceptance_rate,method,overall_range_coverage,positive_rounds,rejected_range_coverage,rejected_rounds,rounds,target
0.736,172,12,0.9347826086956522,184,0.8016528925619835,0.9183848797250859,0.9014084507042254,0.9004024621212121,0.688,1,0.048,lightgbm_compact,0.848,212,0.6060606060606061,66,250,accept_0.75
0.76,165,25,0.868421052631579,190,0.8264462809917356,0.8283333333333334,0.9295774647887324,0.815945165945166,0.66,2,0.1,lightgbm_compact,0.792,198,0.55,60,250,accept_0.75
0.74,167,18,0.9027027027027027,185,0.7933884297520661,0.8885416666666667,0.9154929577464789,0.8569230769230769,0.668,3,0.072,lightgbm_compact,0.816,204,0.5692307692307692,65,250,accept_0.75
0.772,171,22,0.8860103626943006,193,0.8373983739837398,0.890453074433657,0.875,0.8793650793650793,0.684,4,0.088,lightgbm_compact,0.824,206,0.6140350877192983,57,250,accept_0.75
0.7429718875502008,165,20,0.8918918918918919,185,0.8852459016393442,0.8726851851851852,0.9436619718309859,0.8435323383084578,0.6626506024096386,5,0.08032128514056225,lightgbm_compact,0.8313253012048193,207,0.65625,64,249,accept_0.75
0.764,177,14,0.9267015706806283,191,0.8181818181818182,0.9116161616161617,0.9014084507042254,0.8925899621212121,0.708,1,0.056,lightgbm_compact,0.848,212,0.5932203389830508,59,250,accept_0.80
0.816,177,27,0.8676470588235294,204,0.859504132231405,0.8334935897435898,0.9295774647887324,0.8268037518037518,0.708,2,0.108,lightgbm_compact,0.792,198,0.45652173913043476,46,250,accept_0.80
0.784,174,22,0.8877551020408163,196,0.8429752066115702,0.8812091503267974,0.9577464788732394,0.850735294117647,0.696,3,0.088,lightgbm_compact,0.816,204,0.5555555555555556,54,250,accept_0.80
0.824,181,25,0.8786407766990292,206,0.8617886178861789,0.8770440251572327,0.875,0.8629629629629629,0.724,4,0.1,lightgbm_compact,0.824,206,0.5681818181818182,44,250,accept_0.80
0.8152610441767069,179,24,0.8817733990147784,203,0.9016393442622951,0.8668181818181818,0.9577464788732394,0.8322303921568628,0.7188755020080321,5,0.0963855421686747,lightgbm_compact,0.8313253012048193,207,0.6086956521739131,46,249,accept_0.80
0.816,187,17,0.9166666666666666,204,0.8760330578512396,0.9001572327044025,0.9295774647887324,0.8844811753902663,0.748,1,0.068,lightgbm_compact,0.848,212,0.5434782608695652,46,250,accept_0.85
0.868,184,33,0.847926267281106,217,0.9090909090909091,0.8046969696969697,0.9577464788732394,0.8024859943977591,0.736,2,0.132,lightgbm_compact,0.792,198,0.42424242424242425,33,250,accept_0.85
0.828,181,26,0.8743961352657005,207,0.8925619834710744,0.8623456790123457,0.971830985915493,0.8391304347826087,0.724,3,0.104,lightgbm_compact,0.816,204,0.5348837209302325,43,250,accept_0.85
0.864,186,30,0.8611111111111112,216,0.9024390243902439,0.8581081081081081,0.9305555555555556,0.8257995735607676,0.744,4,0.12,lightgbm_compact,0.824,206,0.5882352941176471,34,250,accept_0.85
0.8755020080321285,192,26,0.8807339449541285,218,0.9344262295081968,0.8634502923976608,0.971830985915493,0.8237520128824477,0.7710843373493976,5,0.10441767068273092,lightgbm_compact,0.8313253012048193,207,0.4838709677419355,31,249,accept_0.85
0.868,193,24,0.8894009216589862,217,0.9090909090909091,0.8731818181818182,0.9295774647887324,0.863269054178145,0.772,1,0.096,lightgbm_compact,0.848,212,0.5757575757575758,33,250,accept_0.90
0.9,188,37,0.8355555555555556,225,0.9256198347107438,0.8007440476190476,0.9577464788732394,0.7926820728291316,0.752,2,0.148,lightgbm_compact,0.792,198,0.4,25,250,accept_0.90
0.856,185,29,0.8644859813084113,214,0.9090909090909091,0.8512121212121212,0.971830985915493,0.8330917874396135,0.74,3,0.116,lightgbm_compact,0.816,204,0.5277777777777778,36,250,accept_0.90
0.948,199,38,0.8396624472573839,237,0.9512195121951219,0.8354700854700855,0.9861111111111112,0.7877263581488934,0.796,4,0.152,lightgbm_compact,0.824,206,0.5384615384615384,13,250,accept_0.90
0.9317269076305221,201,31,0.8663793103448276,232,0.9754098360655737,0.8481792717086835,0.9859154929577465,0.8016099773242631,0.8072289156626506,5,0.12449799196787148,lightgbm_compact,0.8313253012048193,207,0.35294117647058826,17,249,accept_0.90
0.688,160,12,0.9302325581395349,172,0.7768595041322314,0.9140070921985816,0.8309859154929577,0.908972289480764,0.64,1,0.048,logistic_sourcebalanced_compact,0.848,212,0.6666666666666666,78,250,accept_0.70
0.716,156,23,0.8715083798882681,179,0.8016528925619835,0.8379725085910653,0.9014084507042254,0.8166666666666667,0.624,2,0.092,logistic_sourcebalanced_compact,0.792,198,0.5915492957746479,71,250,accept_0.70
0.68,158,12,0.9294117647058824,170,0.7272727272727273,0.9172348484848485,0.8450704225352113,0.9077777777777778,0.632,3,0.048,logistic_sourcebalanced_compact,0.816,204,0.575,80,250,accept_0.70
0.72,160,20,0.8888888888888888,180,0.7886178861788617,0.8953608247422681,0.8472222222222222,0.8786104605776737,0.64,4,0.08,logistic_sourcebalanced_compact,0.824,206,0.6571428571428571,70,250,accept_0.70
0.6987951807228916,154,20,0.8850574712643678,174,0.7622950819672131,0.8706093189964158,0.8732394366197183,0.8342293906810035,0.6184738955823293,5,0.08032128514056225,logistic_sourcebalanced_compact,0.8313253012048193,207,0.7066666666666667,75,249,accept_0.70
0.736,170,14,0.9239130434782609,184,0.8016528925619835,0.9097938144329897,0.8450704225352113,0.9023412698412698,0.68,1,0.056,logistic_sourcebalanced_compact,0.848,212,0.6363636363636364,66,250,accept_0.75
0.776,170,24,0.8762886597938144,194,0.859504132231405,0.8456730769230769,0.9154929577464789,0.8356410256410256,0.68,2,0.096,logistic_sourcebalanced_compact,0.792,198,0.5,56,250,accept_0.75
0.7,161,14,0.92,175,0.7603305785123967,0.9081521739130435,0.8591549295774648,0.8901639344262295,0.644,3,0.056,logistic_sourcebalanced_compact,0.816,204,0.5733333333333334,75,250,accept_0.75
0.772,169,24,0.8756476683937824,193,0.8373983739837398,0.873948220064725,0.8888888888888888,0.8673735119047619,0.676,4,0.096,logistic_sourcebalanced_compact,0.824,206,0.6491228070175439,57,250,accept_0.75
0.7670682730923695,168,23,0.8795811518324608,191,0.8278688524590164,0.8755775577557756,0.9154929577464789,0.8323931623931624,0.6746987951807228,5,0.09236947791164658,logistic_sourcebalanced_compact,0.8313253012048193,207,0.6724137931034483,58,249,accept_0.75
0.788,179,18,0.9086294416243654,197,0.8512396694214877,0.8940129449838188,0.9014084507042254,0.8932224025974026,0.716,1,0.072,logistic_sourcebalanced_compact,0.848,212,0.6226415094339622,53,250,accept_0.80
0.816,175,29,0.8578431372549019,204,0.859504132231405,0.829647435897436,0.9154929577464789,0.8125641025641026,0.7,2,0.116,logistic_sourcebalanced_compact,0.792,198,0.5,46,250,accept_0.80
0.756,169,20,0.8941798941798942,189,0.7933884297520661,0.8894097222222223,0.8873239436619719,0.8585034013605443,0.676,3,0.08,logistic_sourcebalanced_compact,0.816,204,0.5737704918032787,61,250,accept_0.80
0.832,182,26,0.875,208,0.8861788617886179,0.867125382262997,0.9305555555555556,0.853411513859275,0.728,4,0.104,logistic_sourcebalanced_compact,0.824,206,0.5714285714285714,42,250,accept_0.80
0.8112449799196787,176,26,0.8712871287128713,202,0.8524590163934426,0.8647435897435898,0.9436619718309859,0.8257048092868988,0.7068273092369478,5,0.10441767068273092,logistic_sourcebalanced_compact,0.8313253012048193,207,0.6595744680851063,47,249,accept_0.80
0.832,187,21,0.8990384615384616,208,0.8925619834710744,0.8896604938271605,0.9154929577464789,0.8846087246087246,0.748,1,0.084,logistic_sourcebalanced_compact,0.848,212,0.5952380952380952,42,250,accept_0.85
0.868,183,34,0.8433179723502304,217,0.8925619834710744,0.8044753086419754,0.9295774647887324,0.7995310245310245,0.732,2,0.136,logistic_sourcebalanced_compact,0.792,198,0.45454545454545453,33,250,accept_0.85
0.8,177,23,0.885,200,0.8429752066115702,0.8821895424836601,0.9436619718309859,0.8460554371002132,0.708,3,0.092,logistic_sourcebalanced_compact,0.816,204,0.54,50,250,accept_0.85
0.884,191,30,0.8642533936651584,221,0.926829268292683,0.8524853801169591,0.9444444444444444,0.8298319327731093,0.764,4,0.12,logistic_sourcebalanced_compact,0.824,206,0.5172413793103449,29,250,accept_0.85
0.8674698795180723,188,28,0.8703703703703703,216,0.9180327868852459,0.8610119047619048,0.9577464788732394,0.822140522875817,0.7550200803212851,5,0.11244979919678715,logistic_sourcebalanced_compact,0.8313253012048193,207,0.5757575757575758,33,249,accept_0.85
0.872,192,26,0.8807339449541285,218,0.9256198347107438,0.8653273809523809,0.9295774647887324,0.8484782893873803,0.768,1,0.104,logistic_sourcebalanced_compact,0.848,212,0.625,32,250,accept_0.90
0.904,188,38,0.831858407079646,226,0.9173553719008265,0.7899399399399399,0.9436619718309859,0.7746624022743426,0.752,2,0.152,logistic_sourcebalanced_compact,0.792,198,0.4166666666666667,24,250,accept_0.90
0.86,187,28,0.8697674418604651,215,0.9090909090909091,0.8616666666666667,0.9577464788732394,0.8331232492997199,0.748,3,0.112,logistic_sourcebalanced_compact,0.816,204,0.4857142857142857,35,250,accept_0.90
0.924,197,34,0.8528138528138528,231,0.9512195121951219,0.8452991452991453,0.9722222222222222,0.8115986394557824,0.788,4,0.136,logistic_sourcebalanced_compact,0.824,206,0.47368421052631576,19,250,accept_0.90
0.9437751004016064,200,35,0.851063829787234,235,0.9672131147540983,0.8419491525423729,1.0,0.7961658841940532,0.8032128514056225,5,0.14056224899598393,logistic_sourcebalanced_compact,0.8313253012048193,207,0.5,14,249,accept_0.90
0.704,166,10,0.9431818181818182,176,0.7851239669421488,0.9298245614035088,0.9014084507042254,0.9087357954545454,0.664,1,0.04,histgb_sourcebalanced_compact,0.848,212,0.6216216216216216,74,250,accept_0.70
0.732,162,21,0.8852459016393442,183,0.8016528925619835,0.8639175257731959,0.9295774647887324,0.8623737373737373,0.648,2,0.084,histgb_sourcebalanced_compact,0.792,198,0.5373134328358209,67,250,accept_0.70
0.688,157,15,0.9127906976744186,172,0.768595041322314,0.8974910394265233,0.8732394366197183,0.8728494623655914,0.628,3,0.06,histgb_sourcebalanced_compact,0.816,204,0.6025641025641025,78,250,accept_0.70
0.692,157,16,0.9075144508670521,173,0.8048780487804879,0.9065656565656566,0.8611111111111112,0.8961597542242703,0.628,4,0.064,histgb_sourcebalanced_compact,0.824,206,0.6363636363636364,77,250,accept_0.70
0.6867469879518072,154,17,0.9005847953216374,171,0.8278688524590164,0.8886138613861386,0.8873239436619719,0.8626984126984127,0.6184738955823293,5,0.06827309236947791,histgb_sourcebalanced_compact,0.8313253012048193,207,0.6794871794871795,78,249,accept_0.70
0.744,173,13,0.9301075268817204,186,0.8099173553719008,0.9132653061224489,0.9154929577464789,0.8934731934731934,0.692,1,0.052,histgb_sourcebalanced_compact,0.848,212,0.609375,64,250,accept_0.75
0.78,170,25,0.8717948717948718,195,0.8347107438016529,0.846039603960396,0.9436619718309859,0.8385572139303482,0.68,2,0.1,histgb_sourcebalanced_compact,0.792,198,0.509090909090909,55,250,accept_0.75
0.732,166,17,0.907103825136612,183,0.8016528925619835,0.8948453608247423,0.9014084507042254,0.871875,0.664,3,0.068,histgb_sourcebalanced_compact,0.816,204,0.5671641791044776,67,250,accept_0.75
0.748,169,18,0.9037433155080213,187,0.8455284552845529,0.9014423076923077,0.875,0.8898715041572185,0.676,4,0.072,histgb_sourcebalanced_compact,0.824,206,0.5873015873015873,63,250,accept_0.75
0.7469879518072289,167,19,0.8978494623655914,186,0.8524590163934426,0.8858974358974359,0.9154929577464789,0.8528205128205129,0.6706827309236948,5,0.07630522088353414,histgb_sourcebalanced_compact,0.8313253012048193,207,0.6349206349206349,63,249,accept_0.75
0.784,180,16,0.9183673469387755,196,0.8347107438016529,0.8927392739273927,0.9154929577464789,0.8814219114219114,0.72,1,0.064,histgb_sourcebalanced_compact,0.848,212,0.5925925925925926,54,250,accept_0.80
0.832,180,28,0.8653846153846154,208,0.8760330578512396,0.8366352201257862,0.9436619718309859,0.8315209665955935,0.72,2,0.112,histgb_sourcebalanced_compact,0.792,198,0.42857142857142855,42,250,accept_0.80
0.768,172,20,0.8958333333333334,192,0.8429752066115702,0.8849673202614379,0.9436619718309859,0.872636815920398,0.688,3,0.08,histgb_sourcebalanced_compact,0.816,204,0.5517241379310345,58,250,accept_0.80
0.824,181,25,0.8786407766990292,206,0.8861788617886179,0.8712538226299694,0.9305555555555556,0.8427149964463397,0.724,4,0.1,histgb_sourcebalanced_compact,0.824,206,0.5681818181818182,44,250,accept_0.80
0.7951807228915663,179,19,0.9040404040404041,198,0.8770491803278688,0.8953271028037383,0.9295774647887324,0.8654040404040404,0.7188755020080321,5,0.07630522088353414,histgb_sourcebalanced_compact,0.8313253012048193,207,0.5490196078431373,51,249,accept_0.80
0.82,188,17,0.9170731707317074,205,0.8760330578512396,0.8946540880503144,0.9295774647887324,0.8844811753902663,0.752,1,0.068,histgb_sourcebalanced_compact,0.848,212,0.5333333333333333,45,250,accept_0.85
0.876,184,35,0.8401826484018264,219,0.9173553719008265,0.7974474474474474,0.971830985915493,0.7884403036576949,0.736,2,0.14,histgb_sourcebalanced_compact,0.792,198,0.45161290322580644,31,250,accept_0.85
0.828,183,24,0.8840579710144928,207,0.8925619834710744,0.8720679012345679,0.9577464788732394,0.8580882352941176,0.732,3,0.096,histgb_sourcebalanced_compact,0.816,204,0.4883720930232558,43,250,accept_0.85
0.88,189,31,0.8590909090909091,220,0.9105691056910569,0.8427083333333333,0.9444444444444444,0.8077731092436975,0.756,4,0.124,histgb_sourcebalanced_compact,0.824,206,0.5666666666666667,30,250,accept_0.85
0.8473895582329317,190,21,0.9004739336492891,211,0.9180327868852459,0.8940476190476191,0.9577464788732394,0.8620098039215687,0.7630522088353414,5,0.08433734939759036,histgb_sourcebalanced_compact,0.8313253012048193,207,0.4473684210526316,38,249,accept_0.85
0.884,196,25,0.8868778280542986,221,0.9008264462809917,0.8747706422018349,0.9295774647887324,0.8617539026629936,0.784,1,0.1,histgb_sourcebalanced_compact,0.848,212,0.5517241379310345,29,250,accept_0.90
0.924,192,39,0.8311688311688312,231,0.9504132231404959,0.7871014492753623,0.971830985915493,0.7811939268461008,0.768,2,0.156,histgb_sourcebalanced_compact,0.792,198,0.3157894736842105,19,250,accept_0.90
0.856,187,27,0.8738317757009346,214,0.9090909090909091,0.8607575757575757,0.9577464788732394,0.8448529411764706,0.748,3,0.108,histgb_sourcebalanced_compact,0.816,204,0.4722222222222222,36,250,accept_0.90
0.944,199,37,0.8432203389830508,236,0.943089430894309,0.8326149425287356,0.9583333333333334,0.7958247066942719,0.796,4,0.148,histgb_sourcebalanced_compact,0.824,206,0.5,14,250,accept_0.90
0.8955823293172691,194,29,0.8699551569506726,223,0.9508196721311475,0.8600574712643678,0.9859154929577465,0.8187301587301588,0.7791164658634538,5,0.11646586345381527,histgb_sourcebalanced_compact,0.8313253012048193,207,0.5,26,249,accept_0.90
0.688,163,9,0.9476744186046512,172,0.7520661157024794,0.9267399267399268,0.8450704225352113,0.916540404040404,0.652,1,0.036,lightgbm_sourcebalanced_compact,0.848,212,0.6282051282051282,78,250,accept_0.70
0.72,161,19,0.8944444444444445,180,0.7933884297520661,0.8756944444444444,0.8873239436619719,0.8719576719576719,0.644,2,0.076,lightgbm_sourcebalanced_compact,0.792,198,0.5285714285714286,70,250,accept_0.70
0.664,152,14,0.9156626506024096,166,0.7272727272727273,0.9106060606060606,0.8591549295774648,0.8989071038251366,0.608,3,0.056,lightgbm_sourcebalanced_compact,0.816,204,0.6190476190476191,84,250,accept_0.70
0.736,166,18,0.9021739130434783,184,0.8455284552845529,0.8985576923076923,0.8888888888888888,0.8875,0.664,4,0.072,lightgbm_sourcebalanced_compact,0.824,206,0.6060606060606061,66,250,accept_0.70
0.6947791164658634,158,15,0.9132947976878613,173,0.8360655737704918,0.9049019607843137,0.9014084507042254,0.8791666666666667,0.6345381526104418,5,0.060240963855421686,lightgbm_sourcebalanced_compact,0.8313253012048193,207,0.6447368421052632,76,249,accept_0.70
0.752,176,12,0.9361702127659575,188,0.8264462809917356,0.92,0.8873239436619719,0.8993506493506493,0.704,1,0.048,lightgbm_sourcebalanced_compact,0.848,212,0.5806451612903226,62,250,accept_0.75
